entity_label,entity_class,oid,mentioned,entity,
has part,ObjectProperty,hp.owl,5789,http://purl.obolibrary.org/obo/BFO_0000051,
has part,ObjectProperty,mp.owl,8660,http://purl.obolibrary.org/obo/BFO_0000051,
abnormal,Class,hp.owl,5672,http://purl.obolibrary.org/obo/PATO_0000460,
abnormal,Class,mp.owl,8568,http://purl.obolibrary.org/obo/PATO_0000460,
abnormal,Class,dpo.owl,23,http://purl.obolibrary.org/obo/PATO_0000460,
has modifier,ObjectProperty,hp.owl,5672,http://purl.obolibrary.org/obo/RO_0002573,
has modifier,ObjectProperty,mp.owl,8568,http://purl.obolibrary.org/obo/RO_0002573,
inheres_in,ObjectProperty,hp.owl,4897,http://purl.obolibrary.org/obo/RO_0000052,
inheres_in,ObjectProperty,mp.owl,7615,http://purl.obolibrary.org/obo/RO_0000052,
inheres_in,ObjectProperty,dpo.owl,24,http://purl.obolibrary.org/obo/RO_0000052,
part_of,ObjectProperty,MFOEM.owl,1,http://purl.obolibrary.org/obo/BFO_0000050,
part_of,ObjectProperty,hp.owl,4397,http://purl.obolibrary.org/obo/BFO_0000050,
part_of,ObjectProperty,mp.owl,4146,http://purl.obolibrary.org/obo/BFO_0000050,
part_of,ObjectProperty,dpo.owl,2,http://purl.obolibrary.org/obo/BFO_0000050,
morphology,Class,hp.owl,161,http://purl.obolibrary.org/obo/PATO_0000051,
morphology,Class,mp.owl,2062,http://purl.obolibrary.org/obo/PATO_0000051,
quality,Class,hp.owl,878,http://purl.obolibrary.org/obo/PATO_0000001,
quality,Class,mp.owl,811,http://purl.obolibrary.org/obo/PATO_0000001,
quality,Class,dpo.owl,23,http://purl.obolibrary.org/obo/PATO_0000001,
quality,Class,nbo.owl,47,http://purl.obolibrary.org/obo/PATO_0000001,
inheres in part of,ObjectProperty,hp.owl,643,http://purl.obolibrary.org/obo/RO_0002314,
inheres in part of,ObjectProperty,mp.owl,1062,http://purl.obolibrary.org/obo/RO_0002314,
increased amount,Class,hp.owl,746,http://purl.obolibrary.org/obo/PATO_0000470,
increased amount,Class,mp.owl,840,http://purl.obolibrary.org/obo/PATO_0000470,
absent,Class,hp.owl,185,http://purl.obolibrary.org/obo/PATO_0000462,
absent,Class,mp.owl,753,http://purl.obolibrary.org/obo/PATO_0000462,
decreased amount,Class,hp.owl,129,http://purl.obolibrary.org/obo/PATO_0001997,
decreased amount,Class,mp.owl,422,http://purl.obolibrary.org/obo/PATO_0001997,
UBERON_0000178,Class,hp.owl,175,http://purl.obolibrary.org/obo/UBERON_0000178,
UBERON_0000178,Class,mp.owl,369,http://purl.obolibrary.org/obo/UBERON_0000178,
occurs in,ObjectProperty,mp.owl,532,http://purl.obolibrary.org/obo/mp/mp-equivalent-axioms-subq#occurs_in,
towards,ObjectProperty,hp.owl,227,http://purl.obolibrary.org/obo/RO_0002503,
towards,ObjectProperty,mp.owl,213,http://purl.obolibrary.org/obo/RO_0002503,
UBERON_0000483,Class,hp.owl,203,http://purl.obolibrary.org/obo/UBERON_0000483,
UBERON_0000483,Class,mp.owl,202,http://purl.obolibrary.org/obo/UBERON_0000483,
decreased size,Class,hp.owl,106,http://purl.obolibrary.org/obo/PATO_0000587,
decreased size,Class,mp.owl,283,http://purl.obolibrary.org/obo/PATO_0000587,
hypoplastic,Class,hp.owl,198,http://purl.obolibrary.org/obo/PATO_0000645,
hypoplastic,Class,mp.owl,188,http://purl.obolibrary.org/obo/PATO_0000645,
count,Class,hp.owl,81,http://purl.obolibrary.org/obo/PATO_0000070,
count,Class,mp.owl,296,http://purl.obolibrary.org/obo/PATO_0000070,
increased size,Class,hp.owl,119,http://purl.obolibrary.org/obo/PATO_0000586,
increased size,Class,mp.owl,216,http://purl.obolibrary.org/obo/PATO_0000586,
UBERON_0001437,Class,hp.owl,285,http://purl.obolibrary.org/obo/UBERON_0001437,
UBERON_0001437,Class,mp.owl,32,http://purl.obolibrary.org/obo/UBERON_0001437,
occurs in,ObjectProperty,hp.owl,307,http://purl.obolibrary.org/obo/BFO_0000066,
occurs in,ObjectProperty,mp.owl,1,http://purl.obolibrary.org/obo/BFO_0000066,
increased rate,Class,hp.owl,65,http://purl.obolibrary.org/obo/PATO_0000912,
increased rate,Class,mp.owl,230,http://purl.obolibrary.org/obo/PATO_0000912,
increased rate,Class,nbo.owl,5,http://purl.obolibrary.org/obo/PATO_0000912,
decreased rate,Class,hp.owl,36,http://purl.obolibrary.org/obo/PATO_0000911,
decreased rate,Class,mp.owl,238,http://purl.obolibrary.org/obo/PATO_0000911,
decreased rate,Class,nbo.owl,3,http://purl.obolibrary.org/obo/PATO_0000911,
UBERON_0003104,Class,hp.owl,129,http://purl.obolibrary.org/obo/UBERON_0003104,
UBERON_0003104,Class,mp.owl,130,http://purl.obolibrary.org/obo/UBERON_0003104,
UBERON_0004387,Class,hp.owl,253,http://purl.obolibrary.org/obo/UBERON_0004387,
UBERON_0004387,Class,mp.owl,1,http://purl.obolibrary.org/obo/UBERON_0004387,
functionality,Class,hp.owl,53,http://purl.obolibrary.org/obo/PATO_0001509,
functionality,Class,mp.owl,199,http://purl.obolibrary.org/obo/PATO_0001509,
UBERON_0001088,Class,hp.owl,117,http://purl.obolibrary.org/obo/UBERON_0001088,
UBERON_0001088,Class,mp.owl,100,http://purl.obolibrary.org/obo/UBERON_0001088,
UBERON_0000344,Class,hp.owl,93,http://purl.obolibrary.org/obo/UBERON_0000344,
UBERON_0000344,Class,mp.owl,92,http://purl.obolibrary.org/obo/UBERON_0000344,
aplastic/hypoplastic,Class,hp.owl,174,http://purl.obolibrary.org/obo/PATO_0002290,
aplastic/hypoplastic,Class,pato.owl,1,http://purl.obolibrary.org/obo/PATO_0002290,
aplastic/hypoplastic,Class,mp.owl,1,http://purl.obolibrary.org/obo/PATO_0002290,
decreased length,Class,hp.owl,95,http://purl.obolibrary.org/obo/PATO_0000574,
decreased length,Class,mp.owl,75,http://purl.obolibrary.org/obo/PATO_0000574,
UBERON_0001474,Class,hp.owl,76,http://purl.obolibrary.org/obo/UBERON_0001474,
UBERON_0001474,Class,mp.owl,84,http://purl.obolibrary.org/obo/UBERON_0001474,
UBERON_0000014,Class,hp.owl,59,http://purl.obolibrary.org/obo/UBERON_0000014,
UBERON_0000014,Class,mp.owl,100,http://purl.obolibrary.org/obo/UBERON_0000014,
GO_0006954,Class,hp.owl,50,http://purl.obolibrary.org/obo/GO_0006954,
GO_0006954,Class,mp.owl,95,http://purl.obolibrary.org/obo/GO_0006954,
